# 3D Scattering Centers Reconstruction
# Model: rocket
# Reference point: [0.0000, 0.0000, 0.9500] m
# Center angles (deg): 0   15   30   45   60   75   90  105  120  135  150  165  180  195  210  225  240  255  270  285  300  315  330  345  360
# Aperture: 10.0 deg
# Total centers: 750
#
# Columns: x(m)  y(m)  z(m)  amplitude  source_theta(deg)
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  -0.152268  0.000000  2.900000  9.525957e+00  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  -0.152268  0.000000  2.900000  9.525957e+00  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  -0.152268  0.000000  2.900000  9.525957e+00  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.000000  0.000000  2.912500  1.354560e+01  0.0
  -0.101512  0.000000  2.887500  1.277664e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  -0.152268  0.000000  2.900000  9.525957e+00  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  -0.152268  0.000000  2.900000  9.525957e+00  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  -0.152268  0.000000  2.900000  9.525957e+00  0.0
  -0.050756  0.000000  2.900000  1.648216e+01  0.0
  0.050756  0.000000  2.900000  1.223669e+01  0.0
  0.000000  0.000000  2.887500  1.411689e+01  0.0
  0.316256  0.000000  2.826974  2.519777e+01  15.0
  0.370950  0.000000  2.825259  2.301738e+01  15.0
  0.261562  0.000000  2.828688  2.133336e+01  15.0
  0.316256  0.000000  2.826974  2.519777e+01  15.0
  0.425645  0.000000  2.823545  1.628974e+01  15.0
  0.370950  0.000000  2.825259  2.301738e+01  15.0
  0.264797  0.000000  2.840762  2.303098e+01  15.0
  0.319491  0.000000  2.839048  2.346905e+01  15.0
  0.210103  0.000000  2.842476  1.750345e+01  15.0
  0.264797  0.000000  2.840762  2.303098e+01  15.0
  0.422409  0.000000  2.811471  1.958145e+01  15.0
  0.367715  0.000000  2.813185  2.390717e+01  15.0
  0.313021  0.000000  2.814900  2.261069e+01  15.0
  0.210103  0.000000  2.842476  1.750345e+01  15.0
  0.155408  0.000000  2.844191  1.039541e+01  15.0
  0.213338  0.000000  2.854551  1.827143e+01  15.0
  0.316256  0.000000  2.826974  2.519777e+01  15.0
  0.419174  0.000000  2.799397  1.961824e+01  15.0
  0.473868  0.000000  2.797683  1.436442e+01  15.0
  0.261562  0.000000  2.828688  2.133336e+01  15.0
  0.158644  0.000000  2.856265  1.251186e+01  15.0
  0.364480  0.000000  2.801111  2.083958e+01  15.0
  0.261562  0.000000  2.828688  2.133336e+01  15.0
  0.206867  0.000000  2.830402  1.399400e+01  15.0
  0.316256  0.000000  2.826974  2.519777e+01  15.0
  0.419174  0.000000  2.799397  1.961824e+01  15.0
  0.261562  0.000000  2.828688  2.133336e+01  15.0
  0.316256  0.000000  2.826974  2.519777e+01  15.0
  0.370950  0.000000  2.825259  2.301738e+01  15.0
  0.473868  0.000000  2.797683  1.436442e+01  15.0
  0.582946  0.000000  2.607922  1.811265e+01  30.0
  0.635333  0.000000  2.592111  1.728351e+01  30.0
  0.530559  0.000000  2.623734  1.679261e+01  30.0
  0.582946  0.000000  2.607922  1.811265e+01  30.0
  0.478172  0.000000  2.639546  1.384766e+01  30.0
  0.530559  0.000000  2.623734  1.679261e+01  30.0
  0.687720  0.000000  2.576299  1.454436e+01  30.0
  0.635333  0.000000  2.592111  1.728351e+01  30.0
  0.582946  0.000000  2.607922  1.811265e+01  30.0
  0.675220  0.000000  2.554648  1.573736e+01  30.0
  0.727607  0.000000  2.538836  1.325987e+01  30.0
  0.779994  0.000000  2.523024  9.855756e+00  30.0
  0.490672  0.000000  2.661197  1.572705e+01  30.0
  0.438285  0.000000  2.677009  1.306445e+01  30.0
  0.385898  0.000000  2.692820  9.678790e+00  30.0
  0.582946  0.000000  2.607922  1.811265e+01  30.0
  0.530559  0.000000  2.623734  1.679261e+01  30.0
  0.635333  0.000000  2.592111  1.728351e+01  30.0
  0.582946  0.000000  2.607922  1.811265e+01  30.0
  0.478172  0.000000  2.639546  1.384766e+01  30.0
  0.530559  0.000000  2.623734  1.679261e+01  30.0
  0.438285  0.000000  2.677009  1.306445e+01  30.0
  0.622833  0.000000  2.570460  1.646075e+01  30.0
  0.675220  0.000000  2.554648  1.573736e+01  30.0
  0.727607  0.000000  2.538836  1.325987e+01  30.0
  0.530559  0.000000  2.623734  1.679261e+01  30.0
  0.582946  0.000000  2.607922  1.811265e+01  30.0
  0.635333  0.000000  2.592111  1.728351e+01  30.0
  0.687720  0.000000  2.576299  1.454436e+01  30.0
  0.536809  0.000000  2.634560  1.744900e+01  30.0
  2.273693  0.000000  0.766867  1.316228e+01  45.0
  2.227183  0.000000  0.795698  1.292329e+01  45.0
  2.180674  0.000000  0.824530  1.200879e+01  45.0
  2.320202  0.000000  0.738035  1.257431e+01  45.0
  2.273693  0.000000  0.766867  1.316228e+01  45.0
  2.227183  0.000000  0.795698  1.292329e+01  45.0
  2.134164  0.000000  0.853362  1.060243e+01  45.0
  2.180674  0.000000  0.824530  1.200879e+01  45.0
  2.105332  0.000000  0.899871  9.990709e+00  45.0
  2.058823  0.000000  0.928703  8.253939e+00  45.0
  2.151842  0.000000  0.871040  1.132525e+01  45.0
  2.227183  0.000000  0.795698  1.292329e+01  45.0
  2.302524  0.000000  0.720357  1.304118e+01  45.0
  2.256015  0.000000  0.749189  1.257381e+01  45.0
  2.180674  0.000000  0.824530  1.200879e+01  45.0
  2.105332  0.000000  0.899871  9.990709e+00  45.0
  2.151842  0.000000  0.871040  1.132525e+01  45.0
  2.227183  0.000000  0.795698  1.292329e+01  45.0
  2.302524  0.000000  0.720357  1.304118e+01  45.0
  2.236022  0.000000  0.804537  1.282911e+01  45.0
  2.311363  0.000000  0.729196  1.309816e+01  45.0
  2.160681  0.000000  0.879878  1.096482e+01  45.0
  2.114171  0.000000  0.908710  9.967028e+00  45.0
  2.189512  0.000000  0.833369  1.232256e+01  45.0
  2.264854  0.000000  0.758028  1.315312e+01  45.0
  2.218344  0.000000  0.786860  1.244487e+01  45.0
  2.171835  0.000000  0.815691  1.121399e+01  45.0
